Date,Start Time,Player Name,Stat Type,Line Score,Odds Type,Headshot URL,Data ID,Over %,Under %,No-Vig Over %,No-Vig Under %,True Point,Average Line,Average Over %,Average Under %,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Projection,Projection vs Line,Edge %,Correlates,Team,Game Short Title,Fav,O/U,Callout Bet Tag,Position
N/A,9/19/2026,Lanear McCrary Jr.,Rush Attempts,7.5,goblin,https://static.prizepicks.com/images/players/NCAAFB/Lanear_McCrary_NCAAFB_player_sho5gFQsQWdGSNHX8iggARLu-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Lanear_McCrary_NCAAFB_player_sho5gFQsQWdGSNHX8iggARLu-450.webp,57.81,57.81,50,50,9.01,8.5,65.68,44.04,59.9,40.1,9.9,59.9,Over,10.75,3.25,67.73,Yes,,,,,,
N/A,9/19/2026,Duke Watson,Longest Reception,6.5,standard,https://static.prizepicks.com/images/players/NCAAFB/Duke_Watson_NCAAFB_player_FXSI0FPx8rWIM2iG089ETof4-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Duke_Watson_NCAAFB_player_FXSI0FPx8rWIM2iG089ETof4-450.webp,57.81,57.81,50,50,6.5,,,,,,,,,,,50,,,,,,,
N/A,9/19/2026,Rodshaun Dorsey,Receptions,5.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,57.81,57.81,50,50,3.1,2.5,67.54,41.82,61.74,38.26,11.74,61.74,Over,2.83,-2.67,9.43,No,,,,,,
N/A,9/19/2026,Samer Layous,Kicking Points,4.5,standard,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Wf3qeWxDceKrHwDPsJMq6rfi/39.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Wf3qeWxDceKrHwDPsJMq6rfi/39.webp,57.81,57.81,50,50,4.5,,,,,,,,,,,50,,,,,,,
N/A,9/19/2026,Will Stone,PAT Made,4.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Will_Stone_NCAAFB_player_W7fUQl6VBBDdHxsMeHIXVTI-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Will_Stone_NCAAFB_player_W7fUQl6VBBDdHxsMeHIXVTI-450.webp,57.81,57.81,50,50,4.5,,,,,,,,,,,50,,,,,,,
N/A,9/19/2026,Waden Charles,Receptions,4.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,57.81,57.81,50,50,2.65,2.5,55.95,54.91,50.48,49.52,0.48,50.48,Over,2.21,-2.29,12.97,No,,,,,,
N/A,9/19/2026,Rodshaun Dorsey,Receptions,4.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,57.81,57.81,50,50,3.1,2.5,67.54,41.82,61.74,38.26,11.74,61.74,Over,2.83,-1.67,20.18,No,,,,,,
N/A,9/19/2026,Waden Charles,Receptions,3.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,57.81,57.81,50,50,2.65,2.5,55.95,54.91,50.48,49.52,0.48,50.48,Over,2.21,-1.29,27.49,No,,,,,,
N/A,9/19/2026,Rodshaun Dorsey,Receptions,3.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,57.81,57.81,50,50,3.1,2.5,67.54,41.82,61.74,38.26,11.74,61.74,Over,2.83,-0.67,37.52,No,,,,,,
N/A,9/19/2026,Cameran Brown,Pass TDs,2.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Cameran_Brown_NCAAFB_player_jqMTTAuNmLSWpOZbB4BINt8-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Cameran_Brown_NCAAFB_player_jqMTTAuNmLSWpOZbB4BINt8-450.webp,57.81,57.81,50,50,0.5,0.5,55.86,55.25,50.28,49.72,0.28,50.28,Over,0.51,-1.99,1.44,No,,,,,,
N/A,9/19/2026,Waden Charles,Receptions,2.5,standard,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,57.81,57.81,50,50,2.65,2.5,55.95,54.91,50.48,49.52,0.48,50.48,Over,2.21,-0.29,49.4,No,,,,,,
N/A,9/19/2026,Rodshaun Dorsey,Receptions,2.5,goblin,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Rodshaun_Dorsey_NCAAFB_player_QeayGZElhysS960DHXzrslVu-450.webp,57.81,57.81,50,50,3.1,2.5,67.54,41.82,61.74,38.26,11.74,61.74,Over,2.83,0.33,59.88,Yes,,,,,,
N/A,9/19/2026,Duke Watson,Anytime TDs,1.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Duke_Watson_NCAAFB_player_FXSI0FPx8rWIM2iG089ETof4-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Duke_Watson_NCAAFB_player_FXSI0FPx8rWIM2iG089ETof4-450.webp,57.81,57.81,50,50,1.5,,,,,,,,,,,44.22,,,,,,,
N/A,9/19/2026,Keyone Jenkins,Anytime TDs,1.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/12.webp,57.81,57.81,50,50,1.5,,,,,,,,,,,44.22,,,,,,,
N/A,9/19/2026,Landen Chambers,Anytime TDs,1.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/11.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/11.webp,57.81,57.81,50,50,1.5,,,,,,,,,,,44.22,,,,,,,
N/A,9/19/2026,Taevion Swint,Anytime TDs,1.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/4.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/4.webp,57.81,57.81,50,50,1.5,,,,,,,,,,,44.22,,,,,,,
N/A,9/19/2026,Cameran Brown,Pass TDs,1.5,demon,https://static.prizepicks.com/images/players/NCAAFB/Cameran_Brown_NCAAFB_player_jqMTTAuNmLSWpOZbB4BINt8-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Cameran_Brown_NCAAFB_player_jqMTTAuNmLSWpOZbB4BINt8-450.webp,57.81,57.81,50,50,0.5,0.5,55.86,55.25,50.28,49.72,0.28,50.28,Over,0.51,-0.99,9.02,No,,,,,,
N/A,9/19/2026,Keyone Jenkins,Anytime TDs,1.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/12.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/12.webp,57.81,57.81,50,50,1.5,,,,,,,,,,,44.22,,,,,,,
N/A,9/19/2026,Landen Chambers,Anytime TDs,1.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/11.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/11.webp,57.81,57.81,50,50,1.5,,,,,,,,,,,44.22,,,,,,,
N/A,9/19/2026,Waden Charles,Receptions,1.5,goblin,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,https://static.prizepicks.com/images/players/NCAAFB/Waden_Charles_NCAAFB_player_J8RMZDw9CApGa0hgkJezVum-450.webp,57.81,57.81,50,50,2.65,2.5,55.95,54.91,50.48,49.52,0.48,50.48,Over,2.21,0.71,74.21,Yes,,,,,,
N/A,9/19/2026,Agyeman Addae,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/35.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/35.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Dylan Wade,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/0.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Pdd87QpoDMwT5Q6Z5dwqyrIV/0.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
N/A,9/19/2026,Jamari Miller,Anytime TDs,0.5,demon,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Wf3qeWxDceKrHwDPsJMq6rfi/19.webp,https://static.prizepicks.com/images/teams/ncaafb/NCAAFB_team_Wf3qeWxDceKrHwDPsJMq6rfi/19.webp,57.81,57.81,50,50,0.5,,,,,,,,,,,39.35,,,,,,,
