Player + Prop,Player + Prop + Line,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
Aliyah Boston + Kiki IriafenPoints(Combo),Aliyah Boston + Kiki IriafenPoints(Combo)32,WNBA,318186,Aliyah Boston + Kiki Iriafen,FC,IND/WAS,Points (Combo),32,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_vbKyz6VIEXQhNGSHnBVEkPXH.webp,15058672,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,32,0,Push
Aliyah Boston + Sonia CitronPoints(Combo),Aliyah Boston + Sonia CitronPoints(Combo)32,WNBA,318185,Aliyah Boston + Sonia Citron,FC,IND/WAS,Points (Combo),32,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_b1J1qX2R0N10EGXYjsKMreUq.webp,15058679,,,,,,,,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,,,,,No,,,0,,,,0,,0,,0,0,32,0,Push
Caitlin ClarkPts+Asts,Caitlin ClarkPts+Asts31.5,WNBA,237851,Caitlin Clark,G,IND,Pts+Asts,31.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,15044788,31.17,51.54,48.46,-9.35,51.54,Under,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,31.17,,,,No,SEA,38.52,31,49.24601072,50.75398928,50,31.17,,0,,31.17,31.17,31.25,0,Push
Sonia CitronFantasyScore,Sonia CitronFantasyScore31.5,WNBA,238241,Sonia Citron,G,WAS,Fantasy Score,31.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Sonia_Citron_WNBA_player_Cu5wEbcQEPoUpdz2rimHwWTl.webp,15055148,,,,,,Push,,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,30.63,,,,No,IND,30.63,33,50,50,50,30.63,5,-0.0456,under,30.63,30.58,30.98,31.55,Push
Kelsey MitchellPts+Rebs+Asts,Kelsey MitchellPts+Rebs+Asts29.5,WNBA,237852,Kelsey Mitchell,G,IND,Pts+Rebs+Asts,29.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,15044718,29.5,50.13,49.87,-7.94,50.13,Over,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,29.5,,,,No,SEA,32.26,31,50.13,49.87,50.13,29.5,,0,,29.5,29.5,29.5,0,Push
Shakira AustinPts+Rebs+Asts,Shakira AustinPts+Rebs+Asts29.5,WNBA,64392,Shakira Austin,C,WAS,Pts+Rebs+Asts,29.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Shakira_Austin_WNBA_player_MA9Pc3OblxHKTZfe7e7MWhC7.webp,15045188,29.5,50.31,49.69,-8.12,50.31,Over,https://www.freeiconspng.com/img/1934,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,29.5,,,,No,IND,33.72,29,50.31,49.69,50.31,29.5,14,-0.0825,under,29.5,29.42,29.48,0,Push
Kelsey MitchellPts+Asts,Kelsey MitchellPts+Asts27.5,WNBA,237852,Kelsey Mitchell,G,IND,Pts+Asts,27.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,15044747,27.5,50.35,49.65,-8.16,50.35,Over,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,27.5,,,,No,SEA,32.26,31,50.35,49.65,50.35,27.5,,0,,27.5,27.5,27.5,0,Push
Aliyah BostonPts+Rebs+Asts,Aliyah BostonPts+Rebs+Asts27.5,WNBA,237853,Aliyah Boston,FC,IND,Pts+Rebs+Asts,27.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,15044751,27.5,49.05,50.95,-6.86,50.95,Under,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,27.5,,,,No,SEA,32.79,29,49.05,50.95,50.95,27.5,,0,,27.5,27.5,27.5,0,Push
Kelsey MitchellPts+Rebs,Kelsey MitchellPts+Rebs27,WNBA,237852,Kelsey Mitchell,G,IND,Pts+Rebs,27,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,15046700,27.5,48.87,51.13,-6.68,51.13,Under,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,27.5,,,,No,SEA,32.26,31,48.59742563,51.40257437,50,27.5,,0,,27.5,27.5,27.38,0,Push
Shakira AustinPts+Rebs,Shakira AustinPts+Rebs26.5,WNBA,64392,Shakira Austin,C,WAS,Pts+Rebs,26.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Shakira_Austin_WNBA_player_MA9Pc3OblxHKTZfe7e7MWhC7.webp,15045176,26.83,50.31,49.69,-8.12,50.31,Under,https://www.freeiconspng.com/img/1934,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,26.83,,,,No,IND,33.72,29,49.10728763,50.89271237,50,26.83,14,-0.0825,under,26.83,26.75,26.73,0,Push
Caitlin ClarkPts+Rebs,Caitlin ClarkPts+Rebs26,WNBA,237851,Caitlin Clark,G,IND,Pts+Rebs,26,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,15045170,26,50.69,49.31,-6.57,50.69,Over,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,26,,,,No,SEA,38.52,31,50.69,49.31,50.69,26,,0,,26,26,26,0,Push
Kelsey MitchellPoints,Kelsey MitchellPoints25.5,WNBA,237852,Kelsey Mitchell,G,IND,Points,25.5,N/A,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,15044784,24.85,51.7,48.3,-9.51,51.7,Under,https://www.freeiconspng.com/img/1934,,Yes,-6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,24.85,,,,No,SEA,32.26,31,48.9436027,51.0563973,50,24.85,,0,,24.85,24.85,25.11,25.5,Best Bet
Kiki IriafenPts+Rebs,Kiki IriafenPts+Rebs25.5,WNBA,238169,Kiki Iriafen,F,WAS,Pts+Rebs,25.5,TRUE,9/20/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kiki_Iriafen_WNBA_player_rpWzpNGkFkgVDdBVjShUvIzB.webp,15045179,25.5,49.55,50.45,-7.36,50.45,Under,https://www.freeiconspng.com/img/1934,,No,6.4,177.7,Mystics @ Fever,2026-09-20T20:00:00Z,Sun 04:00pm,N/A,N/A,NBA TV,,,9/20/2026,25.5,,,,No,IND,31.74,28,49.55,50.45,50.45,25.5,14,-0.0825,under,25.5,25.42,25.48,0,Push
