Date,Start Time,Player Name,Stat Type,Line Score,Odds Type,Headshot URL,Data ID,Over %,Under %,No-Vig Over %,No-Vig Under %,True Point,Average Line,Average Over %,Average Under %,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Projection,Projection vs Line,Edge %,Correlates,Team,Game Short Title,Fav,O/U,Callout Bet Tag,Position
N/A,9/20/2026,Lamar Jackson,Pass+Rush Yds,324.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,301.05,264.5,56.91,57.27,49.83,50.17,-0.17,49.83,Over,264.33,-60.17,38.47,No,,,,,,
N/A,9/20/2026,Lamar Jackson,Pass+Rush Yds,299.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,301.05,264.5,56.91,57.27,49.83,50.17,-0.17,49.83,Over,264.33,-35.17,50.77,No,,,,,,
N/A,9/20/2026,Tyler Shough,Pass+Rush Yds,299.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,57.81,57.81,50,50,301.77,261,57.81,57.81,50,50,0,50,Over,261,-38.5,51.13,No,,,,,,
N/A,9/20/2026,Tyler Shough,Pass+Rush Yds,274.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,57.81,57.81,50,50,301.77,261,57.81,57.81,50,50,0,50,Over,261,-13.5,63.34,No,,,,,,
N/A,9/20/2026,Lamar Jackson,Pass+Rush Yds,271.5,standard,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,301.05,264.5,56.91,57.27,49.83,50.17,-0.17,50.17,Under,264.33,-7.17,35.59,Yes,,,,,,
N/A,9/20/2026,Lamar Jackson,Pass+Rush Yds,249.5,goblin,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,301.05,264.5,56.91,57.27,49.83,50.17,-0.17,49.83,Over,264.33,14.83,74.03,Yes,,,,,,
N/A,9/20/2026,Tyler Shough,Pass+Rush Yds,246.5,standard,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,57.81,57.81,50,50,301.77,261,57.81,57.81,50,50,0,50,Under,261,14.5,24.48,No,,,,,,
N/A,9/20/2026,Tyler Shough,Pass Yards,242.5,standard,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,57.81,57.81,50,50,242.5,243,57.81,57.81,50,50,0,50,Under,243,0.5,50,No,,,,,,
N/A,9/20/2026,Lamar Jackson,Pass Yards,225.5,standard,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,225.5,229.5,56,56.72,49.66,50.34,-0.34,50.34,Under,229.33,3.83,50,No,,,,,,
N/A,9/20/2026,Lamar Jackson,Pass+Rush Yds,224.5,goblin,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,301.05,264.5,56.91,57.27,49.83,50.17,-0.17,49.83,Over,264.33,39.83,83.07,Yes,,,,,,
